author,qtd_livros,media_nota,desvio_nota,ano_medio,cluster
brigitte aubert,10,3.38,3.81,1999,1
bruce elder,3,5.67,4.93,1999,1
bruce zimmerman,3,2,3.46,1993,1
byron preiss,18,3.17,3.73,1993,1
c.g. jung,5,4.4,4.56,1996,1
catherine cookson,47,2.66,3.45,1991,0
catherine cusset,4,3.18,1.41,2002,3
catherine lim,7,2.24,2.68,1996,3
cathy cash spellman,11,2.48,2.99,1991,1
charles w. sasser,8,2.25,3.51,1996,1
christopher hyde,15,2.06,2.7,1993,3
dan  gookin,9,2.48,3.86,2000,1
daphne rose kingma,9,2.44,3.1,1996,1
david breashears,3,3.01,2.84,1999,1
david muench,3,8.33,2.89,1990,1
deb kastner,4,4,4.06,2001,1
diane leslie,3,3.18,1,2001,3
edward eager,15,4.55,3.07,1997,1
ellen fein,8,2.04,1.35,1997,3
fiona kidman,6,2.61,3.32,1990,1
garson kanin,8,2.13,3.14,1977,3
gene brewer,5,3.14,1.13,2000,3
george jonas,3,2.67,4.62,1984,1
george macdonald fraser,14,2.75,4.07,1992,1
h.a. rey,3,3.17,3.88,1969,1
helen townsend,3,2.39,3.18,1998,1
henry sweet,3,9.17,1.44,1979,1
hilary bailey,5,1.2,1.64,1992,3
hill,3,2.33,4.04,1985,1
irmgard keun,6,1.11,2.72,1996,3
j. douglas arnold,9,5.17,0.5,1997,3
jack bickham,4,2.38,3.3,1983,1
james patterson,110,2.9,2.36,1999,0
james thayer,7,2.83,3.44,1999,1
jamie suzanne,44,1.59,2.72,1994,0
jane o'connor,22,1.9,2.71,1992,3
jean lee latham,3,0.53,0.92,1971,3
jean paul sartre,12,4.5,3.71,1985,1
jeanne marie laskas,3,6.22,2.41,2002,1
jennifer drew,8,3.54,3.49,2001,1
jeremiah curtin,3,8.67,0.58,1990,1
jessica auerbach,5,0,0,1994,3
joan steiner,4,5.83,5,1999,1
joe kaufman,4,2.25,4.5,1982,1
john d. macdonald,91,2.68,2.69,1987,0
john evangelist walsh,3,2.67,4.62,1999,1
jose luis olaizola,5,1.67,2.62,1990,3
joyce carol thomas,8,1.23,1.82,1994,3
kay clifford,4,0,0,1985,3
kent nerburn,11,3.08,3.41,1997,1
linda anderson,3,2.1,1.28,1998,3
lois-ann yamanaka,8,2.83,2.55,1999,1
lynn patrick,3,1.33,2.31,1990,3
madeline baker,50,1.61,2.51,1996,0
marc mccutcheon,5,2.1,2.88,1997,1
marjorie farrell,5,2.9,2.13,1997,3
marlene nourbese philip,3,1.5,2.6,1989,3
martha beck,3,5.61,2.07,2000,1
michael levin,4,2,4,1996,1
pat jester,4,2.88,2.17,1984,3
patricia d. cornwell,8,1.91,1.6,1996,3
paul e. little,5,3.2,4.44,1995,1
prue leith,3,5.67,4.93,2002,1
r. c. sproul,6,3.5,4.18,1994,1
ralph m. mcinerny,22,1.07,2.02,1992,3
rand miller,6,5.72,2.99,1998,1
rick r. reed,3,4.67,4.16,1995,1
robert ackerman,3,5.33,4.73,1992,1
rosa guy,5,1,2.24,1985,3
ruth minsky sender,3,4.44,4.07,1992,1
ruud van der rol,3,7.5,2.78,1994,1
sandra day o'connor,4,6.94,2.29,2003,1
sharon jennings,6,4.17,4.58,2000,1
sons,3,3.22,3.53,1990,1
stan davis,3,0,0,1995,3
stephen lewis,6,2.75,3.13,1998,1
steve kluger,5,2.77,2.69,1998,1
terence dickinson,6,3.83,4.49,1991,1
theodore isaac rubin,7,3.94,4.51,1984,1
thisbe nissen,4,3.55,1.53,2001,3
thulani davis,4,3.63,4.75,1995,1
time-life editors,8,3.44,4.42,1982,1
todd gold,5,2.14,2.34,1997,3
tom corcoran,5,0.43,0.6,2000,3
tom miller,9,1.53,3.41,1995,1
tyne o'connell,5,3.8,3.77,2000,1
vickie york,6,1.33,3.27,1994,3
victoria gotti,4,1.55,1.93,1998,3
will durant,6,6.22,4.42,1992,1
a. a. milne,46,3.79,3.28,1992,0
a.j. wood,3,0,0,2000,3
adam lee,5,1.73,3.03,1998,3
alastair macneill,7,2.05,3.2,1996,1
albert french,4,0.83,1.67,1995,3
alexander key,5,3.46,2.64,1977,3
allia zobel,4,4.75,2.95,1994,1
amit chaudhuri,4,1.5,3,1999,3
andrew goliszek,3,1.15,1.99,1998,3
andrew motion,4,4,4.62,2002,1
barbara victor,5,0,0,1996,3
barry gifford,12,2.38,3.71,1991,1
berton roueche,4,2.66,3.07,1989,1
betsy thornton,4,3.5,4.12,2000,1
bill gordh,3,4.17,5.2,1999,1
brian moynahan,7,4.64,4.5,1991,1
carole howey,3,0,0,1995,3
caroline cross,12,2,2.72,1998,3
carter dickson,16,0.84,2.31,1988,3
charles higham,22,1.43,2.56,1986,3
charles long,3,3,5.2,1992,1
charles r swindoll,7,3.21,2.97,1983,1
colleen collins,7,2.25,2.95,2002,1
corinne j. naden,5,3.5,2.24,1980,3
cynthia blair,19,1.3,2.35,1990,3
dan wakefield,5,1.7,2.64,1991,3
darren shan,9,3.1,2.85,2002,1
dave dravecky,6,0.94,1.47,1993,3
david simon,7,0.85,1.1,1996,3
dawn cook,3,5.06,2.42,2002,1
dee williams,5,1.8,4.02,2001,1
dell shannon,10,2.6,3.25,1987,1
diana craig,3,3.56,4.07,1996,1
donna boyd,9,1.99,1.27,2001,3
edward deangelo,3,3.81,4.01,2001,1
elizabeth daniels squire,8,2.81,2.05,1995,3
fedor mikhaã?â¯lovitch dostoã?â¯evski,7,5.5,3.28,1987,1
francoise sagan,11,4.92,3.71,1984,1
garfield reeves-stevens,10,1.28,1.71,1992,3
gary thorp,4,3.25,3.59,2001,1
gene deweese,10,2.75,2.84,1992,1
george sullivan,23,2.06,3.5,1993,1
giovanni verga,3,4.67,4.51,1999,1
glenway wescott,3,1.33,2.31,1992,3
henry alford,3,5.5,3.91,1999,1
hugh schonfield,3,0,0,1993,3
hugo vickers,3,7.33,3.79,1993,1
james stewart,5,5.4,3.29,1992,1
janelle taylor,68,0.77,1.26,1992,0
javier martã­nez reverte,4,4.87,0.44,1998,3
jim cathcart,3,3.33,5.77,1996,1
john campbell,4,5.1,5.13,1993,1
john daniel,4,1.25,2.5,1994,3
jonathan nasaw,10,2.8,1.73,2000,3
joseph r. mancuso,4,4.25,4.92,1989,1
june masters bacher,14,0.64,1.81,1989,3
kate grenville,9,1.9,2.77,1997,3
kathe koja,8,3.04,3.42,1996,1
kathryn cristaldi,4,2.21,2.6,1997,3
kim ostrow,6,3.75,3.74,2002,1
laura c. schlessinger,13,1.4,1.8,1998,3
leah komaiko,4,6.75,1.5,1995,1
lisa vice,3,1.33,2.31,1996,3
lore segal,4,2.56,3.78,1994,1
louise tenney,5,0,0,1992,3
luis alberto urrea,3,5.83,5.11,1999,1
lynn cullen,4,2.25,4.5,1998,1
m. r. sellars,5,3.1,3.71,2002,1
machaelle small wright,3,7.67,0.58,1992,1
margaret goff clark,5,0.93,2.09,1985,3
martin weil,5,5.6,3.78,1991,1
mary wilson,6,0.92,1.43,1993,3
maryann cocca-leffler,9,2.56,4.33,1996,1
masahiro chatani,4,6.75,4.72,1987,1
maxine hong kingston,10,2.71,2.31,1987,3
mel gilden,24,1.81,2.79,1991,3
michelle mckinney hammond,4,0,0,2002,3
mike phillips,3,1.67,2.89,1989,3
mike ripley,4,1.13,2.25,1999,3
milena moser,11,3.52,3.23,1996,1
muller,3,5.33,4.73,1993,1
patrick m. morley,3,0,0,1999,3
peggy ballard,3,0.42,0.72,1988,3
peter niesewand,4,1.85,2.84,1984,3
phyllis raybin emert,7,2.25,2.07,1994,3
r. garcia y. robertson,3,1.83,1.61,1995,3
randel helms,3,1,1.73,1987,3
rebecca moesta,4,0.94,1.15,1998,3
renee roszel,25,0.88,1.5,1997,3
richard carlson,34,2.98,2.53,1998,0
richard cavendish,4,3.75,4.35,1988,1
richard herley,3,0.56,0.96,1987,3
rick stein,3,6,5.29,1998,1
robert alley,4,1.92,2.41,1980,3
roger smith,3,2.67,4.62,1988,1
rolf wilhelm brednich,3,5.22,5.01,1995,1
sally morningstar,5,4,4.18,2000,1
sam keen,10,2.22,2.76,1994,3
sarah kirsch,4,4.88,5.36,1990,1
sharon gillenwater,4,0.83,1.67,1997,3
stanlee phelps,4,3,3.83,1990,1
stephanie barron,12,2.55,2.3,2000,3
stephen o'shea,3,3.67,3.21,2000,1
tania aebi,3,3.41,3.08,1992,1
terri blackstock,19,1.85,1.97,2000,3
w.i.t.c.h.,7,0.43,1.13,2004,3
william congreve,3,2.33,2.02,1995,3
william kotzwinkle,31,2.12,3.35,1993,0
william wordsworth,12,4.71,3.97,1991,1
adele crockett robertson,3,6.17,5.39,1997,1
ahdaf soueif,9,2.49,3.43,1998,1
allen appel,3,2.33,4.04,1990,1
andrew h. malcolm,7,2.67,3.82,1990,1
ann spangler,6,3.14,2.88,2000,1
barbara hand clow,5,4.6,4.77,1993,1
barry werth,3,3.33,5.77,1998,1
benny hinn,6,0.83,1.29,1995,3
bernice chardiet,10,1.51,2.15,1993,3
bill butterworth,5,2.6,3.71,1994,1
bill eidson,4,4.63,3.8,1998,1
booth tarkington,4,2.38,2.75,1995,1
brian m. thomsen,5,4.6,4.35,2000,1
bridget anderson,3,2.33,4.04,1999,1
candace mccarthy,5,2.08,1.32,1998,3
caroline preston,5,2.42,1.1,1999,3
charles m. sheldon,7,3.95,2.34,1995,1
david housewright,3,3.33,5.77,2000,1
david mccumber,4,3.25,3.95,1998,1
debra doyle,18,0.56,1.44,1997,3
deirdre bair,6,4.47,3.24,1992,1
donald w. kemper,5,1.23,1.71,1996,3
e. f benson,3,6,1.73,1980,1
e.a. wallis budge,4,4.5,5.26,1993,1
edna o'brien,25,2.31,2.67,1990,0
edward estlin cummings,3,3.33,5.77,1984,1
elke naters,4,5.38,3.35,2002,1
emma forrest,4,1.51,2.23,2001,3
eric s. raymond,3,3,5.2,1999,1
esther forbes,4,2.01,1.57,1988,3
gish jen,6,1.93,1.56,1998,3
gregg easterbrook,4,3.33,3.53,1997,1
gwen davis,4,2,4,1989,1
gwen steege,3,5,5,2002,1
helen fisher,4,3.75,4.5,2000,1
helena paterson,4,2,4,1996,1
howard g. hendricks,3,0,0,1980,3
howard philips lovecraft,10,4.38,3.95,1992,1
jamie sobrato,4,2.97,1.59,2003,3
jayne anne phillips,9,0.71,0.78,1992,3
john-roger,5,7.3,4.35,1995,1
jonathan carroll,19,2.42,2.16,1996,3
joseph t. klempner,4,1.96,2.34,1998,3
joshua piven,11,2.97,2.3,2002,1
katharine m. rogers,3,2.17,2.02,2001,3
kathleen morgan,16,1.91,3.11,1996,1
kathleen weidner zoehfeld,7,1.93,3.45,1999,1
kevin major,9,2.78,3.66,1993,1
kit williams,4,7.65,2.59,1984,1
kris nelscott,5,5.8,3.68,2002,1
lawrence sutin,4,1.88,3.75,2000,1
linda crockett gray,5,0.65,1.45,1989,3
maia wojciechowska,4,2.1,2.84,1986,3
maki murakami,7,8.29,2.63,2004,1
marge piercy,40,1.92,2.22,1990,0
mark doty,7,0.75,1.42,2000,3
mary b. morrison,3,3,5.2,2003,1
mary cox,4,3.33,4.71,1999,1
mary woodbury,3,1.67,2.89,1997,3
matthew strebe,3,0,0,1998,3
melanie george,8,3.14,2.99,2002,1
melissa mcclone,5,3.2,2.95,2001,1
michael flynn,28,2.5,2.83,1996,0
michael r. perry,4,4.75,3.18,1994,1
moses hadas,3,4.33,4.51,1982,1
pamela broughton,3,0.47,0.81,1986,3
patricia keelyn,5,0.8,1.79,1996,3
rebecca neason,5,4.1,3.27,1998,1
robert coles,15,2.2,3.84,1995,1
robert cullen,6,3.5,3.2,1995,1
saki hiwatari,8,7.17,0.47,2002,1
sam mccarver,5,2.45,3.73,2001,1
samuel eliot morison,7,1.64,3.09,1987,3
sheila watson,3,1.33,1.2,1985,3
sibylle keller,3,1.67,2.89,2002,3
sir walter scott,7,1.69,1.8,1995,3
starhawk,20,4.4,2.84,1995,1
stephen j. cannell,20,2.66,2.08,2000,3
steven wheeler,3,4.33,4.04,1995,1
sydney biddle barrows,3,2.37,0.83,1991,3
sylvia nobel,4,1.63,1.89,2001,3
virginia lynn,4,0,0,1992,3
vivianne crowley,11,3.71,3.8,1999,1
walter satterthwait,15,2.13,2.83,1998,1
wendy garrett,3,2.44,2.5,1993,3
william alexander,5,0,0,1991,3
adrienne burns,3,0.78,1.35,2000,3
andrew harman,3,2.67,4.62,1998,1
andrew j. fenady,3,3.33,5.77,2001,1
ann purser,4,2.5,3.32,2000,1
binnie kirshenbaum,10,3.18,3.33,1998,1
brian jacques,49,2.95,2.14,1998,0
c. s lewis,3,3.75,4.68,1986,1
carmela ciuraru,3,7.33,2.08,2001,1
cecile pineda,3,1.89,3.27,1990,3
christopher hitchens,10,5.61,3.27,1998,1
claudia keller,9,2.94,3.66,1997,1
connie porter,6,1.85,2.16,1994,3
constantine stanislavski,3,1.11,1.92,1989,3
culinary institute of america,3,6.11,3.47,1991,1
cynthia heimel,11,3.22,3.04,1993,1
david jacobs,12,2.32,2.77,1999,1
david st. clair,3,0,0,1985,3
david stewart,3,0,0,1997,3
dc talk,5,7.03,2.3,2000,1
debrah morris,3,0.78,1.35,2002,3
deric longden,9,4.56,3.71,1994,1
douglas coupland,37,3.64,2.41,1998,0
dover,3,9.33,0.58,1997,1
e. m. forster,34,2.3,2.12,1992,0
e.l. konigsburg,28,2.64,3.1,1994,0
edith iglauer,4,3.25,4.27,1992,1
elaine phd costello,3,3,5.2,1992,1
elinor m. brent-dyer,3,0,0,1985,3
elizabeth roberts,5,1.4,2.19,1994,3
ellen gould harmon white,8,3.63,4.27,1991,1
eric kraft,5,1.6,2.3,1994,3
eveline hasler,8,1.31,2.84,1993,3
franã?â§oise sagan,4,1.75,3.5,1996,1
fred grove,5,0,0,1995,3
frederick barthelme,16,1.8,2.5,1994,3
gary hogg,5,1,2.24,1997,3
gena dalton,3,1.41,1.58,2002,3
gregory mcdonald,37,2.39,2.39,1990,0
iona opie,8,5,4.34,1987,1
jakob arjouni,10,2.35,3.01,1995,1
janine boissard,11,2.82,3.18,1989,1
jeff grubb,9,2.07,3.53,1993,1
jerry baker,9,1.31,2.1,1990,3
joceline sanschagrin,4,2,2.45,2001,3
john mccormack,3,0.89,1.54,1996,3
john seymour,4,2.5,5,1986,1
john steinbeck,169,3.89,2.69,1991,2
jonathan schell,3,0.92,1.59,1982,3
judith kelman,20,1.46,2,1997,3
julia parks,4,1.75,3.5,2002,1
julia ross,7,4.18,3.99,2002,1
karin mcquillan,5,1.6,2.22,1993,3
karma wilson,3,0.83,1.44,2002,3
kathleen duey,25,1.47,2.5,1999,3
kinky friedman,38,2.78,2.29,1998,0
laurence g. boldt,5,4.32,3.49,1997,1
leigh greenwood,43,2,2.23,1998,0
linda cook,3,0,0,2000,3
lynn bailey,5,0.48,1.07,2000,3
matt netter,5,1,2.24,1999,3
max mccoy,7,1.79,3.29,1997,1
meghan daum,3,3.87,0.71,2003,3
mian mian,3,3.61,1.67,2002,1
michael m. thomas,7,0,0,1988,3
michael romkey,8,1.33,0.99,1998,3
nicholas von hoffman,3,3,5.2,1993,1
oz clarke,3,3.22,3.53,1996,1
pat cadigan,6,4.69,4.36,1997,1
paul beatty,4,2.95,3.81,2000,1
randy russell,3,3.33,2.89,1997,1
richard cox,3,3.33,5.77,1990,1
robert l. heilbroner,3,1.5,2.6,1991,3
robert ludlum,126,2.08,2.45,1990,0
robert stanek,9,8.22,2.69,2002,1
robyn freedman spizman,3,5,5,1998,1
ruth gordon,4,3,3.56,1982,1
sam walton,3,1.28,1.29,1992,3
sandra birdsell,4,2.6,3.77,1990,1
sandra hill,22,3.12,1.97,1999,1
sheree bykofsky,7,2.92,3.31,1996,1
simon clark,9,1.04,1.13,2002,3
susan terris,6,2.46,3.57,1990,1
thomas sanchez,8,3.02,2.97,1993,1
timothy jones,4,2.75,3.4,1997,1
toni morrison,56,3.55,2.88,1994,0
virginia kroll,3,3.33,5.77,1997,1
walt harrington,3,9,1,2000,1
william j. bennett,20,3.57,3.69,1997,1
alan ahlstrand,3,0.83,1.44,1993,3
anne rockwell,3,2.17,2.02,1992,3
arnulf zitelmann,3,0.67,1.15,2002,3
arthur rosenfeld,6,2.58,3.23,1995,1
aurelius battaglia,4,0,0,1985,3
ben stein,3,5.5,1.32,2001,1
beryl markham,6,1.58,2.15,1990,3
bob sehlinger,10,3.3,4.3,1997,1
charles osgood,8,2.58,2.97,1994,1
charlotte perkins gilman,17,3.56,2.78,1992,1
cheryl biggs,9,0.79,1.18,1996,3
chloe green,5,4.48,3.96,2002,1
cynthia thomason,6,1.62,1.42,2001,3
dana fuller ross,50,0.97,1.41,1987,0
daniel j. hochstatter,3,3,5.2,1994,1
david lodge,54,2.82,2.57,1994,0
david wild,3,1.71,2.15,1996,3
dixie browing,3,0,0,1995,3
doc childre,3,5.5,4.77,2001,1
edward hirsch,4,6.5,4.43,2001,1
emily george,3,5,5,1987,1
faith addis,3,6.17,1.89,2000,1
gary gibson,4,2.25,4.5,1996,1
gary smalley,25,2.74,2.51,1994,0
geoffrey perret,4,3.5,4.73,1996,1
george alec effinger,4,2.08,1.99,1990,3
george catlin,6,4.5,4.93,1987,1
gina b. nahai,6,1.98,3.07,1999,1
gã?â©rard de cortanze,3,4.67,4.16,2002,1
harlan coben,22,3.19,2.13,2000,1
howard kaminsky,5,2.57,1.98,1997,3
hugh mackay,3,3.48,1.89,1996,1
janice weber,3,2,3.46,1995,1
jo leigh,24,2.72,3.11,1999,1
joanne rock,15,2.12,1.62,2003,3
joe queenan,15,2.29,2.43,1999,3
john burnham schwartz,6,3.1,1.97,2000,1
john duncklee,3,1.44,1.26,2000,3
john s. mill,3,6.33,4.04,1975,1
john varley,39,3.6,3,1988,0
jon hassler,29,2.22,2.37,1994,0
joshua slocum,4,3.33,4,1991,1
judith bowen,17,2.17,3.05,1999,1
judith ortiz cofer,9,0.67,1.12,1996,3
judith stafford,3,0,0,1991,3
julia grice,8,0.88,2.47,1988,3
kathryn reiss,5,4.23,3.65,1998,1
kiran desai,3,2.45,2.29,1998,3
kirsten bakis,3,4.92,3.53,1997,1
l. neil smith,20,6.05,4.15,1991,1
leslie linsley,10,2.57,2.64,1991,3
liza baker,5,0.5,1.12,2000,3
lucille clifton,5,3.8,5.22,1988,1
lynda s. robinson,8,2.55,2.13,1998,3
maj sjã¶wall,3,2.67,4.62,1974,1
marcelle bernstein,3,3.33,2.89,1989,1
marcia bartusiak,4,3.63,2.63,1998,1
margaret coel,17,3.65,2.72,2000,1
margaret yorke,26,3.24,3.24,1994,1
marianne wiggins,11,2.31,3.1,1996,1
marius gabriel,7,3.5,3.45,1997,1
mark olshaker,3,2.71,3.04,1993,1
max gallo,3,0.67,1.15,2000,3
michael pearson,4,4.75,5.5,1997,1
mike bryan,6,2.5,3.02,1994,1
monique peterson,3,0.83,1.44,2001,3
nadine gordimer,42,1.96,2.62,1992,0
nerys dee,4,4.17,2.44,1989,1
nicole monet,4,0,0,1986,3
nyx smith,5,3.9,1.95,1995,1
parents magazine,3,3.33,5.77,1995,1
paul eddy,7,1.67,2.6,2001,3
pekka himanen,3,4.23,4.18,2001,1
r. t. kendall,5,0,0,1997,3
richard hittleman,6,3.69,3.52,1979,1
robert masello,3,3,5.2,1996,1
roger a. caras,12,0.99,1.91,1993,3
rose tremain,18,2.65,3.16,1994,1
sarah harrison,8,0.6,1.12,1996,3
scholastic books,34,2.18,3.35,1997,0
shirley conran,15,3.38,3.74,1987,1
sid fleischman,18,1.76,2.78,1992,3
stella gibbons,7,3.35,1.91,1995,3
stephanie james,25,2.49,2.81,1992,0
stephen manes,17,2.05,2.66,1989,3
susan jeschke,3,2.33,4.04,1987,1
susanna hofmann mcshea,3,3.17,2.02,1993,3
suzanne siegel zenkel,3,3.44,4.11,1995,1
ted stone,4,1,2,1998,3
terry essig,9,2.56,4.33,1995,1
thacher hurd,7,4.86,4.85,1992,1
tristine rainer,3,3.79,3.74,1985,1
valerie s. malmont,5,2.34,2.24,2000,3
veronique vienne,4,2.95,3.72,2000,1
william burroughs,7,5.29,3.98,1987,1
"william f., jr. buckley",4,1.62,1.32,1986,3
andrea decarlo,6,2.58,2.97,1996,1
ann lawrence,7,3.46,2.67,1999,1
ann reilly,3,5.33,4.62,1991,1
anna franklin,3,1.33,2.31,2002,3
anne roiphe,8,1.83,2.26,1995,3
annie pigeon,5,4.2,4.02,1995,1
anthony bruno,10,0.81,1.88,1995,3
b. b. hiller,3,0.45,0.79,1990,3
becky barker,4,2,2.35,1998,3
bill myers,29,2.74,2.9,1998,0
bill richardson,10,3.2,2.17,1997,1
campbell soup company,3,6.33,5.51,1991,1
carol smith,7,1.57,1.29,1999,3
clement clarke moore,16,5.03,4.87,1991,1
colin greenland,4,3.5,3.11,1996,1
consuelo de saint-exupery,3,1.46,1.82,2002,3
cotton smith,4,0.88,1.75,2002,3
craig jones,4,1.27,0.88,1984,3
daniel g. amen,3,4.33,4.04,2001,1
david levithan,9,2.15,2.61,2000,3
di morrissey,3,1.68,1.46,2001,3
dorothy uhnak,9,2.52,2.77,1988,3
ed  tittel,3,5.11,4.73,2000,1
eileen spinelli,7,2.71,3.85,1996,1
elizabeth moon,29,4.02,2.88,1997,0
emma fischel,3,1,1.73,1991,3
ernest kellogg gann,3,6,5.29,1980,1
erving goffman,3,4.08,3.79,1969,1
eva shaw,6,3.67,4.68,1993,1
frank kermode,3,1.33,2.31,1983,3
gael greene,3,0,0,1982,3
gail tsukiyama,10,2.79,1.33,1998,3
george anastasia,4,1.28,1.66,1997,3
george shea,3,1.67,2.89,1987,3
grace llewellyn,5,5.74,4.19,1995,1
gustav meyrink,6,2.42,3.2,1991,1
hazel holt,18,1.59,2.11,1998,3
jane goodall,17,2.15,3.17,1993,1
janet beeler shaw,6,2.16,2.11,1994,3
janice bennett,21,1.78,2.96,1996,3
jared m. diamond,3,3.37,3.3,1994,1
jean-bernard pouy,4,0,0,2000,3
jenifer levin,3,1.33,2.31,1990,3
jenny markas,5,1.93,2.09,2002,3
joan hess,55,2.66,2.5,1997,0
joanna wayne,23,1.21,1.46,2001,3
joel martin,6,5.76,2.57,1995,1
john green,3,6.83,3.75,1993,1
jon pickens,3,4.67,4.04,1997,1
juliet e. mckenna,4,4.51,3.09,2001,1
kate hoffman,5,5,5,1998,1
katherine sinclair,4,0,0,1992,3
ken adams,3,3.33,2.89,1995,1
kristin mccloy,3,2.19,2,1993,3
laurie beth jones,8,2.55,2.9,1997,1
lisa samson,9,3.04,2.47,1999,1
louise desalvo,6,3.83,4.31,1999,1
lyall watson,10,3.6,3.6,1991,1
lynda field,3,3.4,2.95,2001,1
margaret wander bonanno,7,2.36,3.22,1995,1
mark bowden,13,3.81,2.85,2000,1
mary rosenblum,3,3.11,3.56,1994,1
melvyn bragg,7,0,0,1999,3
mindy neff,8,1.04,1.61,2003,3
moser mark stewart,4,3.04,4.24,1982,1
nancy varian berberick,6,2.69,2.14,1997,3
nava atlas,4,4.92,3.95,1997,1
nobuo akiyama,8,3.58,4.3,1996,1
p. g wodehouse,6,3.83,3.04,1979,1
patricia phillips,5,0.6,1.34,1990,3
patricia shaw,19,1.98,2.49,1997,3
paul harding,9,2.56,3.91,1997,1
philip smith,6,2.63,2.13,1993,3
philip wilkinson,6,2.42,2.94,1997,1
philippe de vosjoli,6,5.5,4.37,1995,1
richard bachman,15,3.96,2.71,1995,1
richard bandler,5,3.2,4.6,1979,1
richard mason,5,0.96,1.37,1994,3
richard scrimger,5,1.33,1.89,2000,3
richard wurmbrand,5,4.9,4.59,1991,1
richard young,3,3,5.2,1994,1
robert diyanni,5,4.2,4.6,1993,1
robert lieberman,4,1.06,1.52,1987,3
roger zelazny,77,2.88,2.79,1991,0
ron mehl,3,0,0,1997,3
sanaya roman,6,3.8,1.33,1988,3
sarah andrews,12,3.03,3.57,2000,1
shirley jackson,33,4.53,1.89,1988,0
sibylle jargstorf,3,10,0,1998,1
steven banks,7,0.83,1.44,2002,3
sue cameron,4,1.38,2.43,1995,3
