author,qtd_livros,media_avaliacao
jean h. baker,2,6.5
jeff torrington,4,0.75
jennifer toth,3,3.89
jill metcalf,5,1.6
jim anderson,4,2.5
jo gibson,2,0
john medows rodwell,2,2
jon tuska,3,2.67
jonathan d. spence,7,2.29
joyce wadler,2,0
june stepansky,2,4.5
kathleen barry,2,4.5
kathleen ryan,2,2.67
ken munro,8,6
kiki olson,2,1.5
larry bond,11,2.52
larry nemecek,4,3.58
leanne logan,3,8.67
lee bennett hopkins,9,2.15
lee scofield,3,1.67
leslie schwartz,2,0
louise lawrence,9,2.56
m.r. montgomery,2,0
marcela serrano,5,4.8
margery facklam,2,4
marian devon,8,2.19
marilyn hacker,2,2.5
mark friedman,2,5.75
mark frutkin,2,0
marsha canham,14,2.37
mary caraker,2,2
melanie thernstrom,3,3.22
melvin weaver,2,8
michael winter,3,2.72
mikael niemi,2,4
mike mcalary,3,0
miquel martã­ i pol,4,3.57
nathan archer,3,2.63
norman warren,4,0
paul newman,2,1.13
paul r. shaffer,2,4.3
peter medoff,2,4.75
peter tasker,5,3.9
r. d. blackmore,3,0.78
rafael perez y. perez,3,0
ray comfort,4,1.42
raye morgan,8,1.63
rebecca harvin,2,3.5
richard lischer,2,3.75
richard rhodes,13,3.49
richard sandomir,2,1.21
robert gordian,2,0
robert hellenga,7,3.4
robert holden,4,1.63
robert j. petro,2,0
rollo may,5,0
ronald n rood,2,0
rosalind wiseman,2,5.17
roslyn carrington,2,2.13
sam deep,3,3.17
sandra a. thomson,2,1.33
sara douglass,16,5.56
sara perry,5,3
sarah hodgson,3,5.17
scott thompson,2,1.17
sean punch,2,0
shirley grau,2,0.67
simon welfare,2,8.5
sonja massie,6,2.73
staley krause,2,1.25
stephen cartwright,2,3.5
stephen kotkin,2,2.5
stephen laberge,2,3.62
sue halpern,4,0
susan mumford,3,7.67
susan vreeland,11,3.86
susanna sirefman,2,5.33
suzanne barrett,4,1.25
t. w. graham  solomons,2,0
tish rabe,5,1.8
tom mcnab,4,5
traci lords,2,1.28
veronica sperling,2,7
whitney a.,3,0
william p. cunningham,2,0
yoshiko uchida,11,0.88
yukio mishima,37,4.63
yvonne jocks,7,2.28
alan ross,4,4.25
alessandro boffa,4,2.88
alfred north whitehead,2,5
alice notley,2,3.5
andreu martã­n,6,5.17
andrew ross,2,6.5
ann crittenden,2,1.33
anne sexton,10,5.13
annie kimberlin,3,0.63
annie spiegelman,2,1.75
aoumiel,3,4.79
arlene holliday,3,5
arthur edward waite,4,2
ben yagoda,3,0.17
beth moore,10,2.47
betsy page,3,0
bill griffiths,3,2.83
bonnie jo campbell,2,0.75
brenda trent,2,0
bruce bernard,2,5.67
bruce larson,4,0
bryan pfaffenberger,9,2.39
bryce courtenay,17,3.13
c. g. jung,14,2.71
cait johnson,3,5.94
carol mcd. wallace,3,5.02
carole gregory,2,7
caroline walsh,2,10
caryl rivers,5,2.5
catherine archibald,2,0
charles f. larimer,2,10
chloe hooper,2,2.86
chogyam trungpa,17,3.47
chris claremont,14,2.57
christian bieniek,3,1.33
claude brown,4,1.13
david gould,2,4.5
dawn turner trice,2,2.13
don bruns,3,3.83
don debrandt,3,2.75
e. d. hirsch,10,4.03
eca de queiroz,5,5.5
edie claire,7,2.22
edith lank,2,0
elfreida read,2,0
elisabeth kidd,2,0
ellen blance,6,0
ernesto sabato,10,3.67
euell gibbons,4,3.88
fernando de rojas,7,5.36
gary m. lavergne,3,2.67
gino pugnetti,2,3.63
glenn g. boyer,2,1.75
gregory s. dinallo,2,0
hannah green,7,1.32
hans de beer,7,6.86
harvey manning,6,3.92
helen l bee,3,3
herbert wise,2,0
holly morris,3,0
horace walpole,6,4.06
hugo hamilton,4,2.5
ivan march,2,5
j. g. farrell,2,0.5
jacques barbã?â©ri,2,0
james l. mohler,2,4
jan mckee,3,2.67
janet lapierre,6,1.67
jean haught,5,0.1
jean pã?â¼tz,3,3.33
jeanne willis,2,4.5
jeff deaver,8,3.11
jeff rovin,36,2.15
jeffrey m. schwartz,2,0
jenkins,4,4.03
jerry lane,2,4.5
jewelle gomez,3,5
joan steinau lester,2,1.75
joanna burger,2,3.29
john bayley,10,2.38
john heidenry,2,2.5
judith ferguson,6,1.67
k. a. applegate,72,1.79
kate denton,10,1.5
kate saunders,2,1.62
kathy ross,3,5.67
kenneth grant,6,7.17
larrian gillespie,2,0
larry evans,3,1.67
laura kaplan,2,0
laura pedersen,3,5.17
laura taylor,12,1.21
lauryn silverhardt,3,8.67
lawrence durrell,26,3.3
leonore fleischer,14,2.26
lewis,3,3.79
liam o'flaherty,5,6.95
lila jukes,2,5.75
lionel dahmer,2,4.17
lionel fenn,7,4.19
liz greene,12,4.29
lori borgman,2,0
louise nicholson,3,4.33
loyd auerbach,2,3
ludwig wittgenstein,4,3.5
marcella thompson,4,0.42
margaret bechard,4,5.38
mark mccormack,2,2.5
marly youmans,3,6.1
marnie winston-macauley,2,0
marta randall,2,0
martin palmer,2,4.5
mary ann de vries,2,0
mary wollstonecraft,13,2.6
melvin burgess,15,2.66
michael de larrabeiti,4,3.42
michael hague,7,3.57
michel maffesoli,2,7.5
mignon f. ballard,5,4.26
mike peters,9,1.06
millie stamm,2,7.5
mother teresa,11,1.95
n. lee wood,5,4.35
natale ghent,2,0
neale donald walsch,29,3.1
nick tosches,11,0.55
nina porter,2,0
oliver noone,2,0
pamela haines,6,5.42
patrick higgins,2,4
paul jennings,30,3.3
payton lee,3,10
penny armstrong,2,2.31
peter turnbull,6,2.33
r.d. blackmore,2,0
rene garrod,2,0
richard b. stolley,3,3.17
robert mason,4,0.45
robert s. mcnamara,2,1.13
robert savage,3,0
rolf heimann,3,1.5
ron querry,2,0
ronald reagan,6,1.92
ronald shone,2,3.5
ruby ann boxcar,3,0
shannon mckenna,5,1.81
sheneska jackson,6,3.97
shirley kennedy,2,2
smith,11,0
sondra stanford,8,0.21
susan richards shreve,17,1.38
susan trott,9,3.43
susannah indigo,3,10
swami prabhavananda,6,3.33
sylvia de bejar,2,6
theresa digeronimo,2,3.13
thomas thorpe,2,5
tom wiener,2,4.25
tony couch,2,10
torey l. hayden,7,5.67
vera b. williams,8,1.63
virginia driving hawk sneve,2,2.25
walter b. gibson,2,0
william james,10,3.5
william warren,2,10
zondervan publishing,2,6.5
t. m. wright,13,0.97
adler,2,0
alan furst,12,2.74
alex shoumatoff,8,2.06
alexandra david-neel,5,2.8
alice w. pope,2,0
american heart assoc,2,0
amulya malladi,3,2.72
andrea boeshaar,8,2
andrew holleran,5,4.6
anne ha,2,0
annie smith,2,0.5
ashleigh brilliant,5,2.6
barbara harrison,4,0.58
barbara soloff-levy,2,0
berlitz editorial staff,2,4
beth scott,5,2.08
bill moody,3,5
blythe stephens,3,0.78
brendan kennelly,2,7
bruce balfour,2,3.5
c. j. mcknight,3,5.28
c. s. forester,6,4
carole berry,10,3.3
cecelia holland,19,4.08
ceil cleveland,2,5
charlene c. giannetti,2,5.5
charles nicholl,2,3.5
charlotte herman,4,1.63
cherie carter-scott,10,2.36
chris sion,2,10
christopher isherwood,13,3
claudia black,3,5.72
connie cox,2,2.38
dan kurzman,7,0.86
daniel akst,2,2.92
daniel m. pinkwater,4,4.33
david allen,3,2.64
david blatner,4,0.67
david brin,45,2.81
david cole,7,2.29
david hocking,2,0
david kherdian,4,4.57
dawna markova,3,2.89
denis johnson,14,3.36
denise whichello brown,2,0
dennis mcfarland,7,1.23
diana silber,2,0
dirk bogarde,8,5.63
doug richardson,4,0.58
douglas chirnside,2,0
e. b white,2,3.5
ed koch,2,0
edward albee,12,3.79
edward bach,2,5
edward p. jones,4,2.37
elaine barbieri,37,1.84
eleni carr,2,0
elisabet mchugh,2,0
elizabeth hilts,4,3.66
emily cates,2,2
eric f. johnson,2,1.75
evelyn l. beilenson,3,8.08
fc&a publishing,3,2.67
felipe fernandez-armesto,4,0.94
francois villon,2,4.5
frank scoblete,2,4.5
friedrich von schiller,3,6.33
geoff martz,2,4.5
gisela rudolf,2,3
gooseberry patch staff,12,3.08
greg costikyan,3,1.67
gregory hall,3,0
guido knopp,7,2.57
harriet a. jacobs,4,5.01
henry kisor,3,2.17
hubert ben kemoun,2,2.5
isabella bird,3,0
j. g jeffreys,2,0
jack mckinney,9,0.89
jacques salomã?â©,2,6.5
james g. ballard,2,4.75
james young,2,1.67
jean kilbourne,2,3.27
jeffrey j. mayer,5,0.6
jennifer niederst,4,4.38
jenny maxwell,2,2.15
jeremy seal,6,3.08
jim butcher,7,5.23
jim harris,2,0
johan huizinga,5,1.4
john brosnan,4,2.5
jonathan berent,2,3.5
joost elffers,4,2.5
jã?â¶rg kastner,7,3.5
k. philip dick,2,5.25
karen schmidt,2,2.92
karen t. whittenburg,2,4.4
kate dicamillo,6,3.16
kathi appelt,2,4.5
kay turner,3,5.67
kenneth milton stampp,2,4.5
kitty kelley,14,3.41
klaus-peter wolf,3,1.33
konrad lorenz,6,4.58
laura parker,6,1
layne heath,3,1.58
lee mendelson,2,3
life,2,6.5
linnea dayton,6,3.42
london,2,0
louis d giannetti,3,2.58
manuel de pedrolo,6,3.61
margaret a. robinson,2,2.25
mary alice monroe,8,2.34
mary kay,2,0
medea benjamin,2,1
michael halvorson,7,1.79
michael kilgarriff,4,3.87
michael l. brown,4,0
michael sadler,2,1.8
myra rowe,6,0
nancy butler,9,4.5
naomi shihab nye,4,4.83
neil howe,2,5.05
nicholas crane,3,1.75
nick caistor,2,5.5
nigel henbest,2,0
nina coombs,2,0
noelle howey,3,2.62
nonnie st.george,2,7.42
noretta koertge,2,3.5
patricia scanlan,12,2.46
patrick quentin,2,0
paul l. maier,4,3.5
paul william roberts,6,4.25
pauline glen winslow,3,0
peter gadol,7,2.53
peter lippman,2,0
philip arthur sauvain,2,0
philip briggs,2,4.33
philip kindred dick,4,7.65
rachelle morgan,5,1.31
ralph h. blum,3,4
richard h rohmer,2,0
richard marshall,2,4.5
ricky jay,3,6.44
robert b. silvers,3,4.67
robert elmer,3,8.67
robert m. parker,3,3.33
robert rodriguez,2,7.4
roger macbride allen,20,3.02
roger mckenzie,3,0
roger shattuck,3,2.17
ron powers,3,5.17
roy j. cook,3,3.11
s. r. martin,3,0
samantha dunn,2,5.38
sean smith,2,4
shan sa,5,2.97
sheila solomon klass,2,7
stephen blake,4,0.42
stephen j. spignesi,9,2.3
steven herrick,4,4
stewart house,4,2.25
susan greenfield,2,5.83
susan kearney,25,1.7
susan price,9,1.93
susan tayfoor,2,9
theo aronson,3,0
theodore menten,3,0
tim parker,2,8
tracy hogg,3,2.1
walter lafeber,2,1
"walter, jr wangerin",2,2.5
webb,4,1.75
wendy burge,2,1.3
white,4,4.38
william gay,4,1.63
word publishing,2,6.25
alan durant,2,0
alan foster,2,0
alexa smart,4,0
alexandra styron,2,1.71
allen,3,5
anaã¯s nin,3,2.33
andrew m greeley,13,2.19
andrew staiano,2,5
anne lesley groell,3,1.67
arno peters,2,5
barbara hambly,62,3.79
bart farkas,6,4.19
benjamin stein,5,1.2
beth nugent,2,3.38
bette lord,4,0.8
blaine anderson,2,0
brad ferguson,7,1.08
brenda jackson,19,4.81
brian bell,2,6.5
burkhard spinnen,3,0
caroline roe,8,4.75
cecilia tan,4,5.13
chalker l.,3,2
charles jaco,3,1.67
christopher hilton,3,5.83
christopher nicole,5,0
clara pinto-correia,2,7.5
constance ash,3,1.48
craig lesley,10,3.58
dan piraro,8,5.85
davidovic mladen,3,9.33
dawn miller,3,3
deann patrick,2,3.5
don gossett,2,5.25
elizabeth ann scarborough,26,3.2
elizabeth travis,2,3.17
elliot tokson,2,0
evelyn clarke mott,2,1.75
ezra pound,11,5.09
f. engels,2,0
f.m. busby,6,1.95
fabio,9,2.27
fergal keane,2,2.5
fischer,2,0
francis darwin,2,5
francis gay,3,2
gary heavin,2,0.44
george bernau,5,1.73
george turner,9,3.5
graciela ascarrunz gilman,2,3
guy brewer,3,0
gwyn jones,5,2.7
hans-georg noack,4,2.88
harry adam knight,2,0
harvey diamond,10,1.71
hazel townson,2,0
herb cohen,2,0
hope s. warshaw,4,4.13
howard moss,4,1.88
howard zimmerman,6,1.17
hugh rawson,3,2.67
j. keith miller,2,1.17
j.d. robb,2,2.16
james wallace,2,2.5
jamie simons,3,3.78
jan gleiter,2,0
jane r. howard,2,4.5
jane scovell,2,4.5
janet berliner,3,2
janina david,2,4
jaye roycraft,2,9
jean r. ewing,8,1.67
jean van hamme,3,7.33
jeanette lockerbie,2,1
jeff crook,4,3.25
jeffie ross gordon,4,4.75
jerry pallotta,13,3.79
john caldwell holt,5,2.67
john kaufeld,3,0
john l. casti,5,1
jordan paul,2,3.5
jorge amado,22,2.12
josef kirschner,3,4.83
joseph sparling,2,3.5
judi miller,10,1
judy duarte,6,1.6
judy katschke,10,2.4
julie stafford,2,4
katherine pancol,7,2.21
kathleen r. tedsen,2,7
kathryn smith,7,4.25
katya reimann,5,2.6
kenneth goddard,2,0.44
lapierre,3,5.17
larry wade,2,0
laura anne gilman,5,3.47
laura corn,2,4.5
lee gruenfeld,9,1.82
leigh anne jasheway,3,3.33
lenore carroll,2,5
linda sandifer,5,0.25
lindsley cameron,2,4
louie anderson,4,4.01
luci swindoll,3,1.67
lynn kurland,20,3.15
lynne ewing,12,3.11
m. timothy o'keefe,2,0
m. v. carey,9,0.89
manuel rivas,10,6.1
marc brandel,6,3
marcia muller,52,2.06
margaret embry,3,0.89
marisa carroll,20,0.93
marshall  brain,3,2.67
martha c. lawrence,7,4.12
martha kirkland,8,0.98
martin gostelow,3,0
max barry,4,4.66
meredith blevins,2,9.5
michal snunit,3,2.67
molly jong-fast,3,2.71
montse bradford,2,8.5
nancy herndon,7,1.4
nicholas papandreou,2,1.5
nick kelsh,2,7
olga bicos,10,1.33
patricia tichenor westfall,3,2.65
patrick jennings,2,1.46
peter fenton,3,2.4
peter lord-wolff,2,0
peter watt,2,5
pillsbury company,3,3
platt and munk,2,0
r.d. zimmerman,3,2.67
rebecca st. james,2,2.67
robert bloch,21,1.33
robert j. donovan,2,3
robert latimer bates,2,5
robin wayne bailey,5,2.8
roy ageloff,2,5.5
sallie bissell,5,2.31
sally gearhart,2,3
sheridan le fanu,2,6.25
sherrie johnson,8,0
sibylle lewitscharoff,2,4.5
stephan rechtschaffen,3,3.56
stephen r. davis,2,0
sun-tzu,2,3.5
susan larson,2,0
susan ross,2,5
syngress media inc.,5,3
t. e. cruise,2,0
tayeb salih,3,2.33
thomas w. lippman,3,0.83
time out,6,5.5
vincent bugliosi,13,2.76
"walter, sir scott",14,1.09
william bay,2,0
william taylor,4,3.43
a. l. kennedy,6,2
abigail tabby,2,3.5
adele wiseman,2,1.5
agota kristof,6,4.85
alan hooker,2,0
alan judd,3,2.67
alane ferguson,6,0.33
alexander pope,8,0.67
alexandra sellers,17,1.63
allen m. schoen,2,2
alvaro pombo,2,0
angela mcallister,2,0
anne morice,4,2
antonio skarmeta,5,1.92
barbara hodgson,6,2.94
barbara kesel,4,4.62
basil miller,2,1.75
belle yang,4,3
ben stiller,2,1.68
bennett,2,2
betsy duffey,10,1.8
binnie syril,3,0.75
bob arnot,3,6.11
bob brown,2,5
boileau-narcejac,6,0
brad land,2,2.07
brenda wineapple,2,3.5
buck peterson,2,1.75
carlos castillo,5,6.05
carlos fisas,3,2
carly simon,2,4.5
carol marinelli,4,0.18
caroline latham,4,0
carrie l'esperance,2,9
charles panati,7,3.87
cherry hill,2,3
chris woodyard,2,4.5
christian wolmar,2,4
christopher marlowe,12,2.36
cindy bonner,3,1.83
colin mcenroe,4,0
craig boldman,2,0
craig sargent,2,2.5
d. caroline coile,4,6.25
daniel goeudevert,2,3.4
daniel keyes,13,3.19
daniel okrent,5,3.2
daniel parker,9,1.63
david ellwand,2,9
david sweetman,2,0
david viscott,9,4.56
"david, m.d. hilfiker",2,2.5
deborah gregory,6,2.93
diane namm,5,0
don campbell,2,0
don j. snyder,8,3.03
donna bell,5,0
dorothy haas,9,0.26
earl merkel,2,0.14
edith hazard,2,1.75
elyn aviva,2,0
emily colas,2,3.65
eric tyson,9,1.95
erica jong,40,3.03
felice picano,12,2.2
fenton johnson,5,2
fernando vizcaino casas,2,0
fisher,2,2.5
follett ken,2,5
frances itani,4,3.7
frank bonham,4,0
g. waters,2,0
gareth knight,3,3
george b. tindall,2,3.5
gerald a. browne,19,2.18
glenda tennant neff,2,0
graeme base,13,7.2
gwyneth jones,4,3.75
hart seely,2,3.75
hayley ann solomon,6,1.9
henry winkler,3,4.67
herbert r. kohl,3,3.44
hillary rodham clinton,10,2.72
i. m. richardson,9,0.56
j. m. redmann,3,0.44
j. s. salt,2,1.25
j. sheridan le fanu,3,7.17
james axler,63,1.39
jane lindskold,12,5.4
jay neugeboren,2,6
jean smith,3,2.78
jean stewart,3,3.5
jean webster,11,3.89
jeanette foster,3,7.67
jeanne williams,8,0.17
jee-hyung lee,2,5
jennie tremaine,4,2.25
jerry kramer,2,0
jerry minnich,2,4
jim baggott,2,0.83
jo kellum,2,5
joanna elm,2,0.94
joe weber,12,1.24
john c. friel ph.d.,4,3.67
john scott shepherd,4,5.25
john skipp,9,2.45
jonathan ross,3,2.67
joyce armor,2,5
judith m. bardwick,2,5.25
karen whiddon,3,1.87
kasi blake,2,1.34
kate morgenroth,4,5.08
kaz cooke,6,4.53
kevin bozard,2,9
laura richard,2,1.5
laurie cabot,4,2.31
leo f buscaglia,2,4.79
linda flavell,2,6.5
linda murray,12,1.61
lois erickson,2,3.5
louis engel,2,0
luther standing bear,2,5
lynda barry,10,4.19
mable hoffman,10,1.37
maggie marron,2,0
marcia stubbs,2,0
marie killilea,2,0
michael erlewine,3,8.33
michael r. phillips,6,3.81
michael savage,3,2.67
michelle olley,2,5.5
mick middles,2,5.75
miranda castro,2,6
monica dickens,9,5
morrie schwartz,2,0.83
neil peart,3,5.47
nicola cornick,10,2.3
nisha minhas,2,2.25
pamela rafael berkman,2,1.5
pat franklin,2,0
patrick o'leary,4,6.7
patsy jensen,2,0
paul tillich,3,2.5
pauline maier,2,3.5
peter j. boyer,2,4.5
philip j. klass,3,0
poldy bird,2,4.5
quino,12,7.54
r. a. lafferty,2,0.75
rani manicka,3,0.62
richard p. feynman,22,4.5
rick  broida,2,6.5
robert campbell,21,2.31
robert d. hare,3,3
robert masters,2,5.5
roger rosenblatt,7,1.61
ron padgett,3,3
russell vorpagel,2,7.5
sarah lukas,2,5
sarah vowell,5,4.57
scott baker,2,0
sharon snow sirois,4,0
sheila lukins,4,3.68
sindiwe magona,2,5
steve allen,18,0.86
steven weinberg,3,2.33
susie bright,28,3.46
sylvia lopez-medina,2,2.67
t.m. wright,5,0
theodore clymer,4,0
thomas dilorenzo,2,9.5
tim jackson,2,1.5
tom mcneal,3,3.69
twain,3,2.67
urs widmer,14,3.31
vicki noble,3,6
virginia hart,6,0.79
vladimir nabokov,23,3.32
wendy holden,11,2.03
will d. campbell,2,7
yvonne navarro,14,1.89
tony willis,2,4.5
adam haslett,3,2.67
adrianne byrd,5,4.85
alan chalmers,2,5.67
alan sillitoe,9,1.56
alfredo bryce echenique,12,1.32
alice d. domar,4,4.38
anchee min,13,3.6
andi watson,6,8.54
andrew helfer,6,0.42
andrew lang,19,2.58
ann kiemel,3,5
anne de leseleuc,3,2.83
anne m. halpin,2,1.67
anne ross,2,6
annette wolter,3,6.67
annie gottlieb,3,4.35
"arthur conan, sir doyle",60,2.92
b. s. watson,2,0
baxter black,4,3.67
bill creech,2,5.5
billy martin,2,1.33
bobbie kalman,7,0
brenda l. thomas,2,8
brian thomsen,5,1.47
bruce weinstein,2,4.5
carl dreizler,2,4.5
carly phillips,19,1.79
carmen gaite martin,2,3.5
carol kendall,3,2
carole dean,3,0.78
carole stott,3,2.67
caroline macdonald,2,0
cathie dunsford,2,3.08
cathie pelletier,11,3.64
charles capps,4,1.44
charlotte hughes,20,1.28
chris petit,3,1.33
christopher matthew,3,4.11
clark,6,2.12
clark a. smith,2,8.5
courtland l. bovee,2,4
craig strete,3,0
criena rohan,2,3.5
cynthia a. branigan,2,4.83
cynthia hartwick,2,1.55
cyril hare,6,1.17
cyril scott,3,0
daniela gobetti,2,8.5
darren williams,2,1.63
david schwartz,4,3
deanne stillman,4,4.94
debbie johnson,3,2.33
doris betts,8,2.22
doug peacock,2,4.25
e. a. hass,2,2.5
ed young,6,5.06
eleanor burns,4,1.25
eleanor harz jorden,3,0
elizabeth macleod,2,3.5
ellen miles,3,2.89
erica frost,4,2.5
erich fried,5,5.8
evangelisti,2,0
frances hill,2,0
frank baum,2,5
g. harry stine,5,1.6
gail dayton,2,1.83
gail ranstrom,2,0
gardner stanley,3,0
george stephanopoulos,4,4.09
glynn marsh alam,3,1.33
gwen cleary,9,1.11
harris,6,1.67
hawksley,2,0
hector bianciotti,3,0
helen oxenbury,17,2.41
howard reid,2,6.5
j. suzanne frank,2,0
james baldwin,31,5.52
james huston,4,3.26
james mitchell,2,5
jan fennell,3,5
jeanne duprau,4,1.25
jeff carlson,3,7.33
jill mcgown,18,2.44
jim brown,5,2.62
jim burns,2,0
joan a. medlicott,5,3.53
joanne rocklin,6,2.17
john mccabe,3,6
john paul allen,2,4
john sherwood,7,0.5
john welwood,4,0
joyce lain kennedy,7,1.81
judy krizmanic,2,2.13
julia kristeva,3,0
junko wada,2,5.75
karen e. quinones miller,3,4
kathleen russell,2,2
kim levin,2,3.75
l. elizabeth storm,2,0
laura renken,4,3.82
leslie feinberg,3,3.91
leslie marmon silko,6,3.22
liane jones,4,1.04
linda glovach,2,3
lorraine heath,14,1.66
louis calaferte,2,4.25
louise l. hay,26,3.86
lucy baker,3,0.58
malcolm yorke,3,4.44
marc tolon brown,24,2.28
marcia brown,4,2.5
margaret edson,2,3
margaret george,11,2.42
margaret greenwood,2,3
margaret mahy,29,2.14
marie greenwood,3,1.67
marie-aude murail,4,6.38
marilyn diamond,4,0
mark lane,2,0.83
mary rinehart,6,1.83
michael collins,16,2.45
michael rowe,4,0
michael tierra,2,3.38
mike mcquay,11,0.95
molly cochran,8,4.45
nav press,3,2.67
neil eskelin,2,1.75
nicholas pileggi,8,2.26
nikki goldbeck,5,2.7
norah robinson lofts,7,4.79
pam duthie,2,9.5
pascal bonafoux,2,3.5
paul hersey,2,0
peg o'connor burt,2,10
peter menzel,2,8.6
philippe tapon,4,2
pip granger,4,4.58
rachel simon,3,2.81
rebecca miller,2,2.08
richard slotkin,2,2
robert kirkman,2,8.5
robert llewellyn,2,1.33
ron luciano,5,2.08
rosanne daryl thomas,4,1
ryan omega,2,0
sally carrighar,2,0
sembene ousmane,3,1.89
sheri cooper sinykin,6,2.5
stephen kritsick,2,0
stewart lee allen,4,3.49
susan meyers,6,1.12
suzanne rand,6,2.08
suzy-jane tanner,3,2.67
t. c. mcluhan,2,1.5
t. coraghessan boyle,35,2.89
t. davis bunn,21,2.75
tesseract books,2,0
thomas w. phelan ph.d.,3,2.23
tim lott,2,1.7
tom maresca,2,1.25
