author,title,year,book_order,avg_rating,num_ratings,prev_year,years_since_last
a.m. rosenthal,The New York Times World of New York: An Uncommon Guide to the City of Fantasies,1986,2,8,1,1980,6
a.n. wilson,Who Was Oswald Fish?,1988,2,0,1,1984,4
a.n. wilson,Stray (Older Childrens Fiction),1989,3,0,1,1988,1
a.w. gray,Killings,1994,2,0,4,1992,2
aaa publishing,AAA Europe TravelBook : The Guide to Premier Destinations 2002 Edition,2002,2,0,1,2001,1
abbas milani,Tales of Two Cities: A Persian Memoir (Kodansha Globe),1997,2,0,1,1996,1
abby bardi,The Book of Fred : A Novel,2002,2,2,27,2001,1
abraham harold maslow,Toward a Psychology of Being (An Insight Book),1982,2,0,1,1968,14
abraham harold maslow,The Farther Reaches of Human Nature,1993,3,0,1,1982,11
abraham j. twerski,The Thin You Within You: Winning the Weight Game With Self-Esteem,1997,2,0,1,1992,5
ad hudler,Southern Living (Ballantine Reader's Circle),2003,2,3.6666666666666665,9,2002,1
ad hudler,Househusband,2004,3,3.75,4,2003,1
adam barrow,Blind Spot,1997,2,0,1,1996,1
adam barrow,Blind Spot,1998,3,2.125,8,1997,1
adam beechen,The Cost of Cool,2002,2,0,2,2001,1
adam beechen,Twister's Big Break (Rocket Power),2002,3,0,2,2002,0
adam beechen,Jimmy on Ice,2003,4,8,2,2002,1
adam beechen,No More Mr. Smart Guy,2003,5,0,1,2003,0
adam c. engst,Internet Starter Kit for Windows 95,1995,2,0,1,1994,1
adam c. engst,Internet Starter Kit for Windows,1995,3,0,1,1995,0
adam j. jackson,The Ten Secrets of Abundant Health,1996,2,0,1,1996,0
adam j. jackson,Los Diez Secretos Del Amor Abundante,2001,3,9,1,1996,5
adam lebor,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,2000,2,0,1,1998,2
adam smith,Money Game,1975,2,8.5,2,1970,5
adam smith,Powers of mind,1975,3,0,1,1975,0
adam smith,Powers of the Mind,1976,4,0,1,1975,1
adam smith,Powers of the Mind,1976,5,0,1,1976,0
adam smith,Money Game,1976,6,0,2,1976,0
adam smith,An Inquiry into the Nature and Causes of the Wealth of Nations/2 Volumes in 1,1977,7,0,1,1976,1
adam smith,Paper Money,1981,8,0,1,1977,4
adam smith,Powers of Mind,1982,9,0,1,1981,1
adam smith,The Wealth of Nations: An Inquiry into the Nature and Causes (Modern Library (Hardcover)),1993,10,0,1,1982,11
adam smith,"The Wealth of Nations, Books IV-V (Penguin Classics)",2000,11,0,1,1993,7
adele griffin,Split Just Right,1997,2,0,1,1997,0
adele griffin,Rainy Season,1998,3,0,1,1997,1
adele griffin,The Other Shepards,1998,4,0,2,1998,0
adele griffin,The Other Shepards,1999,5,0,1,1998,1
adele griffin,Witch Twins (Witch Twins),2001,6,0,1,1999,2
adele griffin,Amandine,2001,7,7,1,2001,0
adele read,"The Enchanted Attic (Choose  Your Own Adventure, No. 52)",1995,2,0,1,1992,3
adib khan,Solitude of illusions,1996,2,7,1,1995,1
adobe systems inc,Adobe Premiere (Classroom in a book),1993,2,4.5,2,1985,8
adrian gilbert,The Mayan Prophecies : Unlocking the Secrets of a Lost Civilization,1996,2,0,2,1995,1
adrian gilbert,The Mayan Prophecies: Unlocking the Secrets of a Lost Civilization,1996,3,2.3333333333333335,3,1996,0
adrian gilbert,Stalk and Kill,1998,4,0,1,1996,2
adrian nye,Xlib programming manual (The Definitive guides to the X Window System),1990,2,0,1,1988,2
adrian nye,Volume 1 : Xlib Programming Manual (Definitive Guides to the X Window System),1992,3,0,1,1990,2
adriane g. berg,The Totally Awesome Money Book for Kids (And Their Parents),1993,2,7,1,1991,2
adriane g. berg,The Totally Awesome Business Book for Kids: With Twenty Super Businesses You Can Start Right Now!,1995,3,0,1,1993,2
adrienne ellis reeves,Reckless,2003,2,0,1,1995,8
agnes sanford,The Healing Touch of God,1983,2,0,1,1971,12
agnes sanford,The Healing Gifts of the Spirit,1984,3,0,1,1983,1
ahmadou kourouma,Allah n'est pas obligÃ©: Roman,2000,2,0,2,1990,10
ahmadou kourouma,Allah n'est pas obligÃ?Â©,2002,3,2.6666666666666665,3,2000,2
ahmadou kourouma,Die NÃ?Â¤chte des groÃ?Â?en JÃ?Â¤gers.,2002,4,0,2,2002,0
ahmadou kourouma,Allah muss nicht gerecht sein.,2002,5,9,2,2002,0
ahmed osman,Moses and Akhenaten: The Secret History of Egypt at the Time of the Exodus,2002,2,0,1,1994,8
aidan macfarlane,The Diary of a Teenage Health Freak,2002,2,3.5,2,1996,6
aileen ludington,"Health Power: Health by Choice, Not Chance",2001,2,0,1,2001,0
al cody,Trappers' Rendezvous (Atlantic Large Print Series),1991,2,0,2,1988,3
al kaltman,The Genius of Robert E. Lee,2000,2,7,1,1998,2
alai,Red Poppies,2002,2,0,4,2002,0
alai,Red Poppies,2002,3,0,1,2002,0
alai,Red Poppies : A Novel of Tibet,2003,4,0,1,2002,1
alain debotton,Isabel.,2002,2,5.333333333333333,3,2002,0
alain debotton,Kunst des Reisens.,2003,3,0,10,2002,1
alan epstein,How to Be Happier Day by Day: A Year of Mindul Actions,1994,2,7,1,1993,1
alan epstein,"As the Romans Do: The Delights, Dramas, and Daily Diversions of Life in the Eternal City",2000,3,6.5,2,1994,6
alan epstein,As the Romans Do: An American Family's Italian Odyssey,2001,4,7.4,5,2000,1
alan fields,"Baby Bargains: Secrets to Saving 20% to 50% on Baby Furniture, Equipment, Clothes, Toys, Maternity Wear and Much, Much More!",2003,2,9,1,2002,1
alan goodman,"A SLASH IN THE NIGHT THE MYSTERY FILES OF SHELBY WOO 1 (Mystery Files of Shelby Woo , No 1)",1997,2,7,1,1994,3
alan moore,Saga of the Swamp Thing,1987,2,8,1,1987,0
alan moore,Batman: The Killing Joke (Batman (DC Comics Paperback)),1995,3,8,1,1987,8
alan moore,Watchmen,1995,4,5.2727272727272725,22,1995,0
alan moore,Swamp Thing: Love and Death - Book 2,1995,5,10,1,1995,0
alan moore,V for Vendetta,1995,6,7.142857142857143,7,1995,0
alan moore,Saga of the Swamp Thing - Book 1 (DC Comics Vertigo (Paperback)),1998,7,9,2,1995,3
alan moore,FROM HELL,2000,8,1.8333333333333333,6,1998,2
alan moore,Tom Strong,2000,9,9,1,2000,0
alan moore,Tom Strong - Book One,2001,10,5,1,2000,1
alan moore,"The League of Extraordinary Gentlemen, Vol. 1",2001,11,9.5,2,2001,0
alan moore,Swamp Thing: A Murder of Crows - Book 4,2001,12,10,1,2001,0
alan moore,Promethea: Collected Edition Book 2,2001,13,8,1,2001,0
alan moore,Top Ten (Book 1),2001,14,8,2,2001,0
alan moore,Swamp Thing: Earth to Earth - Book 5 (Swamp Thing),2002,15,5,1,2001,1
alan moore,"The League of Extraordinary Gentlemen, Vol. 1",2002,16,3.6451612903225805,31,2002,0
alan moore,"League of Extraordinary Gentlemen, Vol. 2 (Comic)",2003,17,6,4,2002,1
alan moore,Another Suburban Romance,2003,18,8,1,2003,0
alan moore,A Small Killing,2003,19,7,1,2003,0
alan moore,Alan Moore's Writing for Comics,2003,20,6.666666666666667,3,2003,0
alan moore,The Complete D.R. &amp; Quinch (2000 AD Presents S.),2003,21,0,1,2003,0
alan moore,Tom Strong - Book Two of the Heroic New Series,2003,22,5,2,2003,0
alan parry,Little Prayer Series: Bedtime Prayers,1995,2,0,3,1994,1
alan parry,Little Prayer Series: Mealtime Prayers,1995,3,0,2,1995,0
alan parry,Time To Pray Series: Prayers For Bedtime,1997,4,0,1,1995,2
alan parry,Bear's First Bible,2001,5,0,1,1997,4
alan saperstein,Camp,1984,2,0,1,1979,5
alan saperstein,How Old Was Lolita?,1987,3,0,1,1984,3
alan saperstein,How Old Was Lolita?,1988,4,0,2,1987,1
alan schroeder,Presidential Debates,2000,2,8,1,1989,11
alan vanneman,Sherlock Holmes and the Giant Rat of Sumatra,2002,2,1.5,4,2002,0
alan weisman,An Echo in My Blood: The Search for My Family's Hidden Past,1999,2,10,2,1999,0
alanna nash,Behind Closed Doors: Talking With the Legends of Country Music,1988,2,0,1,1988,0
alanna nash,Golden Girl Savitch,1989,3,0,2,1988,1
alanna nash,Golden Girl : The Story of Jessica Savitch,1996,4,0,2,1989,7
alanna nash,Elvis Aaron Presley: Revelations from the Memphis Mafia,1996,5,4,2,1996,0
alastair reynolds,Revelation Space (Gollancz SF S.),2001,2,1.5,10,2001,0
alastair reynolds,Chasm City (Gollancz SF S.),2002,3,6,2,2001,1
alastair reynolds,Revelation Space,2002,4,2.8,15,2002,0
alastair reynolds,Redemption Ark (Gollancz SF S.),2002,5,5,1,2002,0
alastair reynolds,Chasm City,2002,6,1.8,5,2002,0
alastair reynolds,"Diamond Dogs, Turquoise Days (Gollancz SF S.)",2003,7,4,2,2002,1
alastair reynolds,"Diamond Dogs, Turquoise Days (Gollancz SF S.)",2003,8,0,2,2003,0
alastair reynolds,Redemption Ark (Gollancz SF S.),2003,9,0,1,2003,0
alastair reynolds,Chasm City,2003,10,0,5,2003,0
alastair reynolds,Redemption Ark,2003,11,8,1,2003,0
alastair reynolds,Absolution Gap,2004,12,10,1,2003,1
albert harry goldman,Elvis,1984,2,1,1,1974,10
albert jackson,The Complete Manual of Woodworking,1997,2,5,1,1993,4
alberto manguel,Dark Arrows: Great Stories of Revenge,1987,2,0,5,1984,3
alberto manguel,Evening Games: Tales of Parents and Children,1988,3,0,2,1987,1
alberto manguel,Black Water 2: More Tales of the Fantastic,1990,4,0,1,1988,2
alberto manguel,The Oxford Book of Canadian Ghost Stories,1990,5,0,2,1990,0
alberto manguel,News from a Foreign Country Came,1991,6,0,1,1990,1
alberto manguel,A History of Reading,1996,7,1.8,5,1991,5
alberto manguel,The Second Gates of Paradise: The Anthology of Erotic Short Fiction,1997,8,7,1,1996,1
alberto manguel,A History of Reading,1997,9,3.3333333333333335,3,1997,0
alberto manguel,The Ark in the Garden: Fables for Our Times,1998,10,10,1,1997,1
alberto manguel,Mothers &amp; Daughters: An Anthology,1998,11,0,1,1998,0
alberto manguel,By the Light of the Glow-Worm Lamp: Three Centuries of Reflections on Nature,1998,12,0,1,1998,0
alberto manguel,The Dictionary of Imaginary Places: The Newly Updated and Expanded Classic,1999,13,10,1,1998,1
alberto manguel,On Lying in Bed and Other Essays by G.K. Chesterton,2000,14,7,1,1999,1
alberto manguel,Im Spiegelreich.,2000,15,0,1,2000,0
alberto manguel,"Into the Looking-Glass Wood: Essays on Books, Reading, and the World",2000,16,0,3,2000,0
alberto manguel,Dictionnaire des lieux imaginaires,2001,17,8,1,2000,1
alberto manguel,Second Gates of Paradise: The Anthology of Erotic Short Fiction,2001,18,5,1,2001,0
aldous l. huxley,Un Mundo Feliz,2004,2,3,5,1995,9
alec wilkinson,A Violent Act,1993,2,0,1,1989,4
alejandro dumas,"Tres Mosqueteros, Los",1998,2,9,1,1992,6
alejandro dumas,"Tres Mosqueteros, Los",1998,3,10,1,1998,0
alejandro dumas,Los Tres Mosqueteros,1998,4,0,1,1998,0
alejandro dumas,El tulipÃ¡n negro,2000,5,0,1,1998,2
alejandro dumas,"Tres Mosqueteros, Los: Adaptacic\n""""",2001,6,0,3,2000,1
alejandro dumas,Conde de Montecristo,2001,7,0,2,2001,0
alejandro dumas,El Conde De Montecristo,2004,8,4,2,2001,3
alex matthews,Satan's Silence: The Second Cassidy McCabe Mystery (The Second Cassidy Mccabe Mystery),1998,2,0,1,1998,0
alex matthews,Vendetta's Victim: The Third Cassidy McCabe Mystery (Cassidy McCabe Mysteries (Paperback)),1999,3,0,1,1998,1
alex matthews,Wanton's Web : The Fourth Cassidy McCabe Mystery,2001,4,0,1,1999,2
alex matthews,Cat's Claw (Cassidy McCabe Mysteries (Paperback)),2001,5,0,1,2001,0
alex matthews,"Wedding's Widow (Matthews, Alex. Cassidy Mccabe Mystery, 7th.)",2003,6,10,1,2001,2
alex shakar,The Savage Girl,2002,2,1.5,10,2001,1
alexander lowen,"Love, Sex, and Your Heart",1988,2,0,1,1985,3
alexander lowen,Bioenergetics (Arkana S.),1994,3,7,1,1988,6
alexandra penney,The Sexiest Sex of All,1994,2,6,1,1982,12
alexandra potter,Calling Romeo,2004,2,3.142857142857143,7,2003,1
alexs d. pate,Amistad: A Novel,1997,2,1.6153846153846154,13,1995,2
alexs d. pate,The Multicultiboho Show,1999,3,0,3,1997,2
alexs d. pate,West of Rehoboth: A Novel,2001,4,0,1,1999,2
alexs d. pate,West of Rehoboth : A Novel,2002,5,0,1,2001,1
alf proysen,Mrs. Pepperpot in the Magic Wood (Young Puffin Books),1988,2,0,1,1988,0
alf proysen,Mrs. Pepperpot in the Magic Wood (Puffin Modern Classics),1995,3,9,1,1988,7
alfred birnbaum,Zen for Cats: Teachings of the Zen Cat Masters,1993,2,9,1,1991,2
alfred birnbaum,Zen for Cats: Teachings of the Zen Cat Masters,1993,3,3.5555555555555554,9,1993,0
alfred birnbaum,Monkey Brain Sushi: New Tastes in Japanese Fiction (Japan's Modern Writers),1993,4,1.75,4,1993,0
alfred birnbaum,Monkey Brain Sushi: New Tastes in Japanese Fiction,2002,5,0,1,1993,9
alfred bosch,L'atles furtiu (ColÂ¨lecciÃ³ clÃ ssica),1998,2,4.25,4,1996,2
alfred j. kolatch,The Second Jewish Book of Why,1995,2,6,1,1990,5
alfred kazin,Selected Short Stories of Nathaniel Hawthorne,1993,2,3,3,1983,10
alfred lansing,Endurance : Shackleton's Incredible Voyage,1998,2,4,2,1994,4
alfred lansing,Endurance: Shackleton's Incredible Voyage,1999,3,3.097560975609756,41,1998,1
alfred lansing,635 Tage im Eis. Die Shackleton- Expedition.,2000,4,3.5,2,1999,1
alfred lansing,Endurance: Shackleton's Incredible Voyage to the Antarctic (Illustrated Edition),2001,5,10,1,2000,1
alfred werner,Inness Landscapes,1999,2,10,1,1988,11
alfredo gomez cerda,"LA Puerta Falsa (Gran Angular, 210)",2001,2,0,2,1998,3
alice cary,Parents' Guide to Hiking &amp; Camping: A Trailside Guide (Trailside Guide Series),1997,2,0,1,1995,2
alice chambers,Always a Princess,2001,2,0,1,2000,1
alice gray,Stories for the Heart: The Original Collection,1996,2,3.2666666666666666,15,1996,0
alice gray,Stories for the Heart,1996,3,9,1,1996,0
alice gray,More Stories for the Heart (Stories For the Heart),1997,4,3.125,8,1996,1
alice gray,More Stories for the Heart (Stories For the Heart),1997,5,0,1,1997,0
alice gray,Christmas Stories for the Heart (Stories For the Heart),1998,6,7,4,1997,1
alice gray,Stories for the Family's Heart (Stories For the Heart),1998,7,2.5,6,1998,0
alice gray,Stories for a Woman's Heart,1999,8,5.375,8,1998,1
alice gray,Lists to Live By:  The First Collection : For Everything that Really Matters (Lists to Live By),1999,9,3.736842105263158,19,1999,0
alice gray,Stories for a Teen's Heart (Stories For the Heart),1999,10,2.888888888888889,9,1999,0
alice gray,Stories for a Faithful Heart,1999,11,0,2,1999,0
alice gray,A Fragrance of Friendship (Katia Andreeva Watercolors),2000,12,2.6666666666666665,3,1999,1
alice gray,Stories for the Extreme Teen's Heart (Stories for the Heart Series Endcap Kit),2000,13,5.8,5,2000,0
alice gray,Stories for a Kindred Heart : Over 100 Treasures to Lift Your Soul (Stories For the Heart),2000,14,0,2,2000,0
alice gray,Lists to Live By: The First Collection Special Edition Books are Fun,2000,15,0,1,2000,0
alice gray,Stories for a Woman's Heart: Second Collection (Stories For the Heart),2001,16,0,1,2000,1
alice gray,Stories for the Extreme Teen's Heart,2001,17,0,1,2001,0
alice gray,Lists to Live By: The Third Collection : For Everything That Really Matters (Lists to Live By),2001,18,4.333333333333333,6,2001,0
alice gray,Stories for the Heart: The Second Collection (Stories For the Heart),2001,19,0,1,2001,0
alice gray,Lists to Live By for Every Married Couple (Lists to Live By),2001,20,7,1,2001,0
alice gray,Lists to Live By: The Second Collection,2001,21,5.5,4,2001,0
alice gray,Stories for a Romantic Heart - gift book (Stories For the Heart),2001,22,8,1,2001,0
alice gray,Stories for a Teen's Heart: Book 3,2002,23,10,1,2001,1
alice gray,Lists to Live By For Smart Living,2002,24,0,1,2002,0
alice gray,Lists to Live By: The Fourth Collection : For Everything That Really Matters (Lists to Live By),2002,25,0,1,2002,0
alice gray,Stories for a Teacher's Heart (Stories For the Heart),2002,26,0,1,2002,0
alice gray,Stories From a Soldier's Heart: For the Patriotic Soul,2003,27,9,1,2002,1
alice mcdermott,At Weddings and Wakes,1993,2,0.7333333333333333,15,1993,0
alice mcdermott,Charming Billy,1998,3,2.75,8,1993,5
alice mcdermott,A Bigamist's Daughter,1999,4,5,9,1998,1
alice mcdermott,At Weddings and Wakes,1999,5,2.0526315789473686,19,1999,0
alice mcdermott,Charming Billy,1999,6,2.6090225563909772,133,1999,0
alice mcdermott,That Night,1999,7,3,8,1999,0
alice mcdermott,Child of My Heart,2002,8,2.4262295081967213,61,1999,3
alice mcdermott,Child of My Heart,2002,9,5,2,2002,0
alice mcdermott,Irischer Abschied. Roman.,2002,10,0,1,2002,0
alice mcdermott,Child of My Heart : A Novel,2003,11,3.8666666666666667,15,2002,1
alice schwarzer,Eine tÃ¶dliche Liebe: Petra Kelly und Gert Bastian,1993,2,6,1,1984,9
alice schwarzer,Marion DÃ¶nhoff: Ein widerstÃ¤ndiges Leben,1996,3,8,1,1993,3
alice schwarzer,"Der kleine Unterschied und seine groÃ?Â?en Folgen. Frauen Ã?Â¼ber sich, Beginn einer Befreiung.",2002,4,4.5,2,1996,6
alice turner curtis,Little Maid of Virginia (Little Maid),1998,2,4.333333333333333,3,1995,3
alice turner curtis,Little Maid of Old Maine (Little Maid),1999,3,0,1,1998,1
alice zillman chapin,The Little Book of Big Bible Promises for Women (Little Book of Big Bible Promises),2001,2,0,1,2000,1
alicia alvrez,Ladies' Room Reader: The Ultimate Women's Trivia Book,2001,2,2.6666666666666665,9,1995,6
alicia alvrez,The Ladies Room Reader: The Ultimate Women's Trivia Book,2002,3,8,1,2001,1
alicia alvrez,Mama Says: Best Advice from Some of the World's Best Mothers,2004,4,0,1,2002,2
alii m. bek,"The Awakening (The Children of the Anarii, Book II)",1998,2,8,1,1996,2
alii m. bek,"The Becoming (The Children of the Anarii, Book III)",2000,3,8,1,1998,2
aliki,"Use Your Head, Dear",1983,2,0,1,1982,1
aliki,Feelings,1984,3,0,1,1983,1
aliki,My Visit to the Dinosaurs (Let's-read-and-find-out science book),1985,4,0,1,1984,1
aliki,Mummies Made in Egypt,1985,5,10,1,1985,0
aliki,My Visit to the Dinosaurs (Let's-Read-and-Find-Out Science 2),1985,6,7.5,2,1985,0
aliki,Feelings,1986,7,0,2,1985,1
aliki,Corn Is Maize (Let's-Read-and-Find-Out Science 2),1986,8,9,1,1986,0
aliki,"MANY LIVES OF BENJAMIN FRANKLIN, THE",1988,9,0,2,1986,2
aliki,Digging Up Dinosaurs (Let's-Read-and-Find-Out Science 2),1988,10,2.5,4,1988,0
aliki,Digging Up Dinosaurs (Let's-read-and-find-out science book),1988,11,0,3,1988,0
aliki,My Five Senses (Let's-Read-and-Find-Out Science 1),1989,12,0,1,1988,1
aliki,Manners,1990,13,0,1,1989,1
aliki,Dinosaur Bones (Let's-Read-and-Find-Out Science 2),1990,14,8,1,1990,0
aliki,Fossils Tell of Long Ago (Let's-Read-and-Find-Out Science 2),1990,15,3.3333333333333335,3,1990,0
aliki,My Feet (Let's-Read-and-Find-Out Science 1),1992,16,5,2,1990,2
aliki,The Big Book for Our Planet,1993,17,7,1,1992,1
aliki,Communication,1993,18,0,1,1993,0
aliki,All by Myself!,2000,19,8,1,1993,7
aliske webb,Twelve Golden Threads: Lessons for Successful Living from Grama's Quilt,1997,2,1.6,5,1996,1
aliske webb,The Fragile Thread,1998,3,1.6,5,1997,1
aliske webb,ZwÃ?Â¶lf goldene FÃ?Â¤den. Lebensweisheiten einer wundervollen Grossmutter.,1999,4,10,1,1998,1
alison cragin herzig,Sam and the Moon Queen,1990,2,5,1,1978,12
alison cragin herzig,Mystery on October Road,1991,3,0,1,1990,1
alison cragin herzig,Mystery on October Road (A Puffin Book),1993,4,5,1,1991,2
alison cragin herzig,The Boonsville Bombers,1993,5,2.5,2,1993,0
alison cragin herzig,Weekly Reader Children's Book Club presents Silly Steggy,1993,6,0,1,1993,0
alison green,Postman Pat's 123,1994,2,7,1,1994,0
alison inches,Wendy Helps Out (Bob The Builder),2001,2,7,1,1996,5
alison inches,Run-Away Roley,2002,3,0,2,2001,1
alison lurie,Only Children,1979,2,0,1,1974,5
alison lurie,Foreign Affairs-Op/20,1985,3,3.2222222222222223,9,1979,6
alison lurie,The Truth About Lorin Jones,1988,4,0,2,1985,3
alison lurie,Ein ganz privater kleiner Krieg. Roman.,1988,5,5,1,1988,0
alison lurie,Les amours d'Emily Turner,1989,6,0,1,1988,1
alison lurie,Only Children,1990,7,0,3,1989,1
alison lurie,La vÃ?Â©ritÃ?Â© sur Lorin Jones,1990,8,7,1,1990,0
alison lurie,Don't Tell the Grown-Ups: Subversive Children's Literature (Don't Tell the Grown-Ups),1990,9,0,1,1990,0
alison lurie,The Truth About Lorin Jones,1990,10,0,2,1990,0
alison lurie,The War Between the Tates,1991,11,0,2,1990,1
alison lurie,Imaginary Friends,1991,12,0,3,1991,0
alison lurie,Die Wahrheit Ã?Â¼ber Lorin Jones. Roman.,1992,13,5,1,1991,1
alison lurie,Des amis imaginaires,1992,14,8,2,1992,0
alison lurie,The Oxford Book of Modern Fairy Tales,1993,15,0,2,1992,1
alison lurie,Comme des enfants,1993,16,7,1,1993,0
alison lurie,The Oxford Book of Modern Fairy Tales,1994,17,9,1,1993,1
alison lurie,Foreign Affairs,1995,18,3,12,1994,1
alison lurie,Women and Ghosts,1995,19,7,1,1995,0
alison lurie,The Nowhere City,1997,20,1.875,8,1995,2
alison lurie,Love and Friendship,1997,21,2.3333333333333335,3,1997,0
alison lurie,Real People,1998,22,5,3,1997,1
alison lurie,The Last Resort,1998,23,7,1,1998,0
alison lurie,Don't Tell the Grown-Ups : The Subversive Power of Children's Literature,1998,24,4.5,2,1998,0
alison lurie,The Last Resort: A Novel,1998,25,3.25,4,1998,0
alison lurie,Imaginary Friends,1998,26,0,4,1998,0
alison lurie,Foreign Affairs,1999,27,0,2,1998,1
alison lurie,The Last Resort,1999,28,3,2,1999,0
alison lurie,The Language of Clothes,2000,29,7,1,1999,1
alison lurie,AffÃ?Â¤ren. Eine transatlantische Liebesgeschichte.,2001,30,0,1,2000,1
alison plowden,The Stuart Princess,1997,2,7,1,1976,21
alison plowden,Two Queens in One Isle: The Deadly Relationship of Elizabeth I &amp; Mary Queen of Scots,1999,3,7,1,1997,2
alison plowden,Young Elizabeth: The First Twenty-Five Years,1999,4,7,1,1999,0
alison plowden,The Young Victoria,2000,5,7,1,1999,1
alison plowden,Lady Jane Grey: Nine Days Queen,2003,6,0,1,2000,3
alison roberts,Emotional Rescue (Medical Romance),2001,2,0,1,1999,2
alison roberts,Nurse in Need (Medical Romance),2001,3,0,1,2001,0
alison roberts,Emotional Rescue (Medical Romance),2001,4,0,1,2001,0
alison roberts,Emergency: Christmas (Harlequin Heartbeat),2003,5,0,2,2001,2
alison roberts,Double Duty,2003,6,0,2,2003,0
alison scott skelton,Family Story: A Novel,1995,2,0,4,1988,7
alison scott skelton,Family Story,1996,3,0,5,1995,1
alison sinclair,Legacies : Legacies,1996,2,2.25,4,1996,0
alison strickland,"Washington, D.C.: Our Nation's Capital",1985,2,5,1,1983,2
alison strickland,That Doggone Dog (Willowisp Sappling (Sic)),1987,3,0,1,1985,2
alison wearing,Honeymoon in Purdah: An Iranian Journey,2000,2,4,2,1988,12
alison wearing,Honeymoon in Purdah: An Iranian Journey,2001,3,2.142857142857143,7,2000,1
